Date.Sampled,Sample,Rep,750A,665A,750B,665B,chla,area
8/29/2017,Cr,C,0.0035,-0.0001,0,0,5.148,1
9/1/2017,H,A,0.0006,0.0012,0.0016,0.0027,0.715,16
9/1/2017,H,B,0.0005,0.0017,0.001,0.0021,-0.143,16
9/1/2017,H,C,0.0017,0.0035,0.0016,0.0039,0.715,16
9/1/2017,So,A,0.0009,0.0042,0.0009,0.0052,1.43,16
9/1/2017,So,B,0.0009,0.0024,0.001,0.0028,0.429,16
9/1/2017,So,C,0.0011,0.007,0.005,0.0133,3.432,16
9/1/2017,Sh,A,0.0009,0.002,0.0009,0.0024,0.572,16
9/1/2017,Sh,B,0.0009,0.0042,0.0009,0.0056,2.002,16
9/1/2017,Sh,C,0.0011,0.002,0.001,0.0013,-0.858,16
9/1/2017,F,A,0.0009,0.0021,0.0011,0.0026,0.429,16
9/1/2017,F,B,0.001,0.0026,0.0013,0.0034,0.715,16
9/1/2017,F,C,0.0011,0.0028,0.001,0.0026,-0.143,16
9/1/2017,T,A,0.009,0.002,0.0009,0.0017,11.154,20.25
9/1/2017,T,B,0.0013,0.0134,0.0035,0.0167,1.573,20.25
9/1/2017,T,C,0.0011,0.004,0.0009,0.0035,-0.429,20.25
9/1/2017,Cr,A,0.0005,0.0009,0.0005,0.0009,0,1
9/1/2017,Cr,B,0.0005,0.0009,0.0004,0.0005,-0.429,1
9/1/2017,Cr,C,0.0006,0.001,0.0006,0.0009,-0.143,1
9/5/2017,H,A,0,0.001,0,0,-1.43,16
9/5/2017,H,B,0.001,0.001,0,0,0,16
9/5/2017,H,C,0.005,0.048,0.001,0.079,50.05,16
9/5/2017,So,A,0.004,0.004,0,0.001,1.43,16
9/5/2017,So,B,0.001,0.003,0,0.003,1.43,16
9/5/2017,So,C,0.002,0.016,0,0.025,15.73,16
9/5/2017,Sh,A,0,0,0,0,0,16
9/5/2017,Sh,B,0.003,0.007,0,0.008,5.72,16
9/5/2017,Sh,C,0.002,0.015,0,0.023,14.3,16
9/5/2017,F,A,0,0.002,0,0,-2.86,16
9/5/2017,F,B,0.003,0.024,0,0.037,22.88,16
9/5/2017,F,C,0.002,0.003,0,0,-1.43,16
9/5/2017,T,A,0.001,0.004,0,0.002,-1.43,20.25
9/5/2017,T,B,0.001,0.002,0,0.001,0,20.25
9/5/2017,T,C,0,0,0,0,0,20.25
9/5/2017,Cr,A,0.001,0,0,0,1.43,1
9/5/2017,Cr,B,0,0,0,0,0,1
9/5/2017,Cr,C,0,0,0.003,0,-4.29,1
9/8/2017,H,A,0.003,0.027,0,0.033,12.87,16
9/8/2017,H,B,0.001,0.003,0,0,-2.86,16
9/8/2017,H,C,0.001,0.003,0,0,-2.86,16
9/8/2017,So,A,0.001,0.005,-0.001,0.001,-2.86,16
9/8/2017,So,B,0.007,0.026,0.001,0.032,17.16,16
9/8/2017,So,C,0.004,0.007,0,0.003,0,16
9/8/2017,Sh,A,0.002,0.005,0,0.003,0,16
9/8/2017,Sh,B,0.002,0.007,0,0.004,-1.43,16
9/8/2017,Sh,C,0.002,0.006,0,0.005,1.43,16
9/8/2017,F,A,0.006,0.057,0.001,0.075,32.89,16
9/8/2017,F,B,0.001,0.006,0,0.001,-5.72,16
9/8/2017,F,C,0.008,0.004,0,0.002,8.58,16
9/8/2017,T,A,0.005,0.026,0.001,0.027,7.15,20.25
9/8/2017,T,B,0.006,0.08,0.002,0.125,70.07,20.25
9/8/2017,T,C,0.002,0.028,0.001,0.046,27.17,20.25
9/8/2017,Cr,A,,,,,,1
9/8/2017,Cr,B,,,,,,1
9/8/2017,Cr,C,,,,,,1
9/12/2017,H,A,0,0,0,0,0,16
9/12/2017,H,B,0,0.001,0.001,0,-2.86,16
9/12/2017,H,C,0.002,0.054,0.002,0.076,31.46,16
9/12/2017,So,A,0.002,0.008,0,0,-8.58,16
9/12/2017,So,B,0,0,0.001,0,-1.43,16
9/12/2017,So,C,0.009,0.034,0.003,0.02,-11.44,16
9/12/2017,Sh,A,0.006,0.023,0.002,0.006,-18.59,16
9/12/2017,Sh,B,0.006,0.012,0,0,-8.58,16
9/12/2017,Sh,C,0.001,0.004,0.002,0.004,-1.43,16
9/12/2017,F,A,0,0.001,0,0,-1.43,16
9/12/2017,F,B,0.002,0.029,0.001,0.039,15.73,16
9/12/2017,F,C,0,0,0,0,0,16
9/12/2017,T,A,0.004,0.031,0,0.017,-14.3,20.25
9/12/2017,T,B,0.004,0.033,0.001,0.043,18.59,20.25
9/12/2017,T,C,0.002,0.018,0.001,0.015,-2.86,20.25
9/12/2017,Cr,A,0.002,0.001,0,0,1.43,1
9/12/2017,Cr,B,0.002,0.002,0,0,0,1
9/12/2017,Cr,C,0.001,0,0,0,1.43,1
9/15/2017,H,A,-0.0022,0.015,0.001,0.033,21.164,16
9/15/2017,H,B,-0.0035,-0.0018,0.0006,0.0039,2.288,16
9/15/2017,H,C,-0.0006,0.0187,0.0026,0.0209,-1.43,16
9/15/2017,So,A,0.0018,-0.0004,0.0002,0.0005,3.575,16
9/15/2017,So,B,-0.0011,-0.0044,0,0.0016,7.007,16
9/15/2017,So,C,-0.0029,-0.0057,0.0002,0.0004,4.29,16
9/15/2017,Sh,A,-0.0024,-0.0048,0.0011,0.002,4.719,16
9/15/2017,Sh,B,-0.0038,-0.006,0,0,3.146,16
9/15/2017,Sh,C,0.0018,-0.0007,0,0.0004,4.147,16
9/15/2017,F,A,-0.0039,-0.0065,0,0.0011,5.291,16
9/15/2017,F,B,0.0024,0.001,0,0.0004,2.574,16
9/15/2017,F,C,-0.0007,0.0198,0.001,0.0331,16.588,16
9/15/2017,T,A,0.0035,0.0061,0.0032,0.0095,5.291,20.25
9/15/2017,T,B,-0.0016,0.0162,0.0032,0.0371,23.023,20.25
9/15/2017,T,C,-0.0032,-0.0055,0.0013,0.0027,5.291,20.25
9/15/2017,Cr,A,0.0011,-0.0018,0,0,4.147,1
9/15/2017,Cr,B,-0.0002,-0.0033,0,0,4.433,1
9/15/2017,Cr,C,0.0013,-0.0017,0.0004,0.0006,4.576,1
